ward_id,year_month,predicted_density
E05011226,2024-11,1.1593415
E05011226,2024-12,1.4789944
E05011226,2025-01,1.3721201
E05011226,2025-02,1.4925526
E05011227,2024-08,1.006906
E05011227,2024-09,1.0325108
E05011227,2024-10,1.0491701
E05011227,2024-11,1.1314201
E05011227,2024-12,1.2634901
E05011227,2025-01,1.3639098
E05011227,2025-02,1.3031073
E05011228,2024-08,1.4866501
E05011228,2024-09,1.5960747
E05011228,2024-10,1.6431171
E05011228,2024-11,1.6842086
E05011228,2024-12,1.7233952
E05011228,2025-01,1.7233952
E05011228,2025-02,1.7233952
E05011229,2024-08,0.6087623
E05011229,2024-09,0.64297426
E05011229,2024-10,0.65963364
E05011229,2024-11,0.65963364
E05011229,2024-12,0.670995
E05011229,2025-01,0.65963364
E05011229,2025-02,0.65963364
E05011230,2024-08,0.8906257
E05011230,2024-09,1.1192565
E05011230,2024-10,1.0673472
E05011230,2024-11,1.1359159
E05011230,2024-12,1.1472772
E05011230,2025-01,1.2161937
E05011230,2025-02,1.2161937
E05011231,2024-08,1.1276147
E05011231,2024-09,1.3707349
E05011231,2024-10,1.2110372
E05011231,2024-11,1.4117477
E05011231,2024-12,1.2110372
E05011231,2025-01,1.3920367
E05011231,2025-02,1.3509451
E05011232,2024-08,1.313691
E05011232,2024-09,1.4032986
E05011232,2024-10,1.4610496
E05011232,2024-11,1.3603281
E05011232,2024-12,1.28005
E05011232,2025-01,1.28005
E05011232,2025-02,1.28005
E05011233,2024-08,1.1924012
E05011233,2024-09,1.2591642
E05011233,2024-10,1.2758236
E05011233,2024-11,1.2758236
E05011233,2024-12,1.3169152
E05011233,2025-01,1.2758236
E05011233,2025-02,1.2758236
E05011234,2024-08,0.6983871
E05011234,2024-09,0.79610026
E05011234,2024-10,0.7606198
E05011234,2024-11,0.7606198
E05011234,2024-12,0.7606198
E05011234,2025-01,0.7606198
E05011234,2025-02,0.81275964
E05011235,2024-08,1.9070624
E05011235,2024-09,2.4990218
E05011235,2024-10,2.4964201
E05011235,2024-11,2.4964201
E05011235,2024-12,2.6602385
E05011235,2025-01,2.4731464
E05011235,2025-02,2.4731464
E05011236,2024-08,0.8701463
E05011236,2024-09,0.93690956
E05011236,2024-10,0.95356894
E05011236,2024-11,0.8850002
E05011236,2024-12,0.95356894
E05011236,2025-01,0.95356894
E05011236,2025-02,0.95356894
E05011237,2024-08,3.1815662
E05011237,2024-09,2.7925954
E05011237,2024-10,3.0392091
E05011237,2024-11,3.0151074
